Date,Time,Temp.,Holiday,weekDay
January 1 2007,2:00:00,8,1,0
January 1 2007,8:00:00,7,1,0
January 1 2007,14:00:00,14,1,0
January 1 2007,20:00:00,9,1,0
January 2 2007,2:00:00,9,1,1
January 2 2007,8:00:00,9,1,1
January 2 2007,14:00:00,16,1,1
January 2 2007,20:00:00,13,1,1
January 3 2007,2:00:00,12,1,2
January 3 2007,8:00:00,13,1,2
January 3 2007,14:00:00,15,1,2
January 3 2007,20:00:00,13,1,2
January 4 2007,2:00:00,12,0,3
January 4 2007,8:00:00,11,0,3
January 4 2007,14:00:00,16,0,3
January 4 2007,20:00:00,14,0,3
January 5 2007,2:00:00,13,0,4
January 5 2007,8:00:00,11,0,4
January 5 2007,14:00:00,11,0,4
January 5 2007,20:00:00,9,0,4
January 6 2007,2:00:00,8,0,5
January 6 2007,8:00:00,8,0,5
January 6 2007,14:00:00,13,0,5
January 6 2007,20:00:00,10,0,5
January 7 2007,2:00:00,10,0,6
January 7 2007,8:00:00,9,0,6
January 7 2007,14:00:00,12,0,6
January 7 2007,20:00:00,9,0,6
January 8 2007,2:00:00,8,0,0
January 8 2007,8:00:00,7,0,0
January 8 2007,14:00:00,13,0,0
January 8 2007,20:00:00,9,0,0
January 9 2007,2:00:00,8,0,1
January 9 2007,8:00:00,8,0,1
January 9 2007,14:00:00,14,0,1
January 9 2007,20:00:00,10,0,1
January 10 2007,2:00:00,9,0,2
January 10 2007,8:00:00,8,0,2
January 10 2007,14:00:00,14,0,2
January 10 2007,20:00:00,11,0,2
January 11 2007,2:00:00,9,0,3
January 11 2007,8:00:00,8,0,3
January 11 2007,14:00:00,14,0,3
January 11 2007,20:00:00,11,0,3
January 12 2007,2:00:00,10,0,4
January 12 2007,14:00:00,13,0,4
January 12 2007,20:00:00,10,0,4
January 13 2007,2:00:00,8,0,5
January 13 2007,8:00:00,8,0,5
January 13 2007,14:00:00,14,0,5
January 13 2007,20:00:00,10,0,5
January 14 2007,2:00:00,9,0,6
January 14 2007,8:00:00,8,0,6
January 14 2007,14:00:00,9,0,6
January 14 2007,20:00:00,10,0,6
